Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NY-107,Tioga County,41.41,105,4.57,36.84
NY-109,Tompkins County,38.72,83,2.19,36.53
NY-111,Ulster County,49.74,85,2.6,47.14
NY-113,Warren County,47.34,107,5.47,41.87
NY-115,Washington County,41.86,95,4.08,37.78
NY-117,Wayne County,32.92,46,-1.15,34.07
NY-119,Westchester County,44.61,48,-2.42,47.03
NY-121,Wyoming County,41.59,106,4.58,37.01
NY-123,Yates County,34.11,84,2.1,32.01
NC-001,Alamance County,46.19,74,1.04,45.15
NC-003,Alexander County,51.55,92,4.16,47.39
NC-005,Alleghany County,56.89,96,5.89,51
NC-007,Anson County,45.38,65,-0.45,45.83
NC-009,Ashe County,54.68,92,3.76,50.92
NC-011,Avery County,56.45,75,1.52,54.93
NC-013,Beaufort County,44.98,22,-6.64,51.62
NC-015,Bertie County,42.11,19,-6.71,48.82
NC-017,Bladen County,36.58,6,-11.47,48.05
NC-019,Brunswick County,44.83,25,-7.05,51.88
NC-021,Buncombe County,49.68,74,1.55,48.13
NC-023,Burke County,53.73,88,3.07,50.66
NC-025,Cabarrus County,45.07,60,-1.13,46.2
NC-027,Caldwell County,55.06,86,3.42,51.64
NC-029,Camden County,45.35,43,-2.63,47.98
NC-031,Carteret County,47.29,21,-7.89,55.18
NC-033,Caswell County,45.19,79,1.71,43.48
NC-035,Catawba County,50.75,87,2.91,47.84
NC-037,Chatham County,45.78,62,-0.45,46.23
NC-039,Cherokee County,58.84,58,-0.83,59.67
NC-041,Chowan County,45.74,41,-3.82,49.56
NC-043,Clay County,62.58,71,1.05,61.53
NC-045,Cleveland County,46.41,54,-2.99,49.4
NC-047,Columbus County,43.4,24,-6.08,49.48
NC-049,Craven County,44.89,18,-8.1,52.99
NC-051,Cumberland County,37.27,8,-9.81,47.08
NC-053,Currituck County,44.57,43,-2.95,47.52
NC-055,Dare County,43.34,13,-7.6,50.94
NC-057,Davidson County,44.36,56,-1.49,45.85
NC-059,Davie County,45.59,73,0.07,45.52
NC-061,Duplin County,35.82,2,-14.66,50.48
NC-063,Durham County,45.89,76,1.36,44.53
NC-065,Edgecombe County,37.1,7,-10.21,47.31
NC-067,Forsyth County,48.52,98,3.8,44.72
NC-069,Franklin County,45.38,58,-0.51,45.89
NC-071,Gaston County,47.51,67,-0.12,47.63
NC-073,Gates County,44.25,34,-4.08,48.33
NC-075,Graham County,62.35,59,-1.31,63.66
NC-077,Granville County,45.36,67,0.71,44.65
NC-079,Greene County,37.84,6,-10.99,48.83
NC-081,Guilford County,48.26,93,3.49,44.77
NC-083,Halifax County,40.03,22,-5.85,45.88
NC-085,Harnett County,42.46,38,-4.56,47.02
NC-087,Haywood County,55.23,62,0,55.23
NC-089,Henderson County,58.12,68,-0.46,58.58
NC-091,Hertford County,42.6,27,-5.67,48.27
NC-093,Hoke County,38.92,14,-8.05,46.97
NC-095,Hyde County,45.67,23,-6.72,52.39
NC-097,Iredell County,47.89,77,1.01,46.88
NC-099,Jackson County,65.92,74,2.87,63.05
NC-101,Johnston County,41.49,27,-5.54,47.03
NC-103,Jones County,42.73,12,-9.86,52.59
NC-105,Lee County,44.26,56,-2.19,46.45
NC-107,Lenoir County,36.59,6,-13.52,50.11
NC-109,Lincoln County,48.23,70,0.35,47.88
NC-111,McDowell County,58.08,82,2.86,55.22
NC-113,Macon County,66.42,75,2.71,63.71
NC-115,Madison County,44.94,54,-0.85,45.79
NC-117,Martin County,41.13,15,-7.81,48.94
NC-119,Mecklenburg County,44.39,58,-1.67,46.06
NC-121,Mitchell County,51.2,67,0.17,51.03
NC-123,Montgomery County,46.26,63,-0.45,46.71
NC-125,Moore County,43.6,41,-3.6,47.2
NC-127,Nash County,40.6,25,-6.35,46.95
NC-129,New Hanover County,40.12,9,-12.95,53.07
NC-131,Northampton County,40.06,20,-6.12,46.18
NC-133,Onslow County,43.04,11,-10.63,53.67
NC-135,Orange County,47.41,81,2.56,44.85
NC-137,Pamlico County,46.96,22,-6.89,53.85
NC-139,Pasquotank County,45.96,47,-2.61,48.57
NC-141,Pender County,40.31,7,-11.78,52.09
NC-143,Perquimans County,46.14,45,-3.12,49.26
NC-145,Person County,46.85,83,3,43.85
NC-147,Pitt County,39.43,9,-9.77,49.2
NC-149,Polk County,58.13,71,0.3,57.83
NC-151,Randolph County,45.74,61,-0.63,46.37
NC-153,Richmond County,46.57,67,-0.24,46.81
NC-155,Robeson County,36.16,9,-9.49,45.65
NC-157,Rockingham County,47.51,91,3.59,43.92
NC-159,Rowan County,42.53,43,-4.16,46.69
NC-161,Rutherford County,50.84,67,-0.73,51.57
NC-163,Sampson County,35.68,4,-12.59,48.27
NC-165,Scotland County,40.46,29,-5.8,46.26
NC-167,Stanly County,46.24,66,-0.21,46.45
NC-169,Stokes County,54.36,116,8.43,45.93
NC-171,Surry County,55.32,109,7.7,47.62
NC-173,Swain County,63.9,63,0.32,63.58
NC-175,Transylvania County,73.13,78,3.04,70.09
NC-177,Tyrrell County,46.14,26,-4.75,50.89
NC-179,Union County,40.71,35,-4.17,44.88
NC-181,Vance County,46.18,70,1.47,44.71
NC-183,Wake County,44.39,53,-1.45,45.84
NC-185,Warren County,44.04,61,-0.48,44.52
NC-187,Washington County,46.1,34,-4.48,50.58
NC-189,Watauga County,56.58,88,3.73,52.85
NC-191,Wayne County,37.28,7,-11.04,48.32
NC-193,Wilkes County,55.69,98,5.84,49.85
NC-195,Wilson County,39.8,18,-7.59,47.39
NC-197,Yadkin County,52.41,108,7.09,45.32
NC-199,Yancey County,52.55,71,0.59,51.96
ND-001,Adams County,13.94,40,-1.94,15.88
ND-003,Barnes County,21.61,88,1.98,19.63
ND-005,Benson County,16.27,45,-0.9,17.17
ND-007,Billings County,18.93,105,3.51,15.42
ND-009,Bottineau County,16.66,70,0.36,16.3
ND-011,Bowman County,14.73,63,-0.14,14.87
ND-013,Burke County,20.01,110,3.7,16.31
ND-015,Burleigh County,16.18,53,-0.4,16.58
ND-017,Cass County,21.72,80,1.53,20.19
ND-019,Cavalier County,23.88,116,4.93,18.95
ND-021,Dickey County,23.79,101,3.59,20.2
ND-023,Divide County,16.21,78,1.17,15.04
ND-025,Dunn County,18.58,86,2.09,16.49
ND-027,Eddy County,16.77,44,-1.16,17.93
ND-029,Emmons County,16.41,53,-0.68,17.09
ND-031,Foster County,16.87,45,-1.44,18.31
ND-033,Golden Valley County,17.87,101,3.01,14.86
ND-035,Grand Forks County,23.39,109,4.09,19.3
ND-037,Grant County,16.83,63,0.14,16.69
ND-039,Griggs County,20.3,82,1.43,18.87
ND-041,Hettinger County,16.55,72,0.16,16.39
