Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
PA-047,Elk County,48.7,126,3.2,45.5
PA-049,Erie County,49.4,120,2.8,46.6
PA-051,Fayette County,51.2,108,1.4,49.8
PA-053,Forest County,48.5,118,2.6,45.9
PA-055,Franklin County,53.3,118,2.4,50.9
PA-057,Fulton County,53,120,2.5,50.5
PA-059,Greene County,52.4,109,1.6,50.8
PA-061,Huntingdon County,52.2,121,2.4,49.8
PA-063,Indiana County,50.1,116,1.8,48.3
PA-065,Jefferson County,49.2,122,2.8,46.4
PA-067,Juniata County,52.7,121,2.2,50.5
PA-069,Lackawanna County,49.3,126,3.7,45.6
PA-071,Lancaster County,54.5,124,3.3,51.2
PA-073,Lawrence County,51,115,2.2,48.8
PA-075,Lebanon County,53.7,125,3.5,50.2
PA-077,Lehigh County,53.4,124,3.6,49.8
PA-079,Luzerne County,49.6,126,3.1,46.5
PA-081,Lycoming County,49.8,124,2.6,47.2
PA-083,McKean County,48.2,127,3.7,44.5
PA-085,Mercer County,50,120,2.8,47.2
PA-087,Mifflin County,52.1,122,2.2,49.9
PA-089,Monroe County,49.2,123,3.2,46
PA-091,Montgomery County,55.4,124,3.7,51.7
PA-093,Montour County,51.7,124,2.9,48.8
PA-095,Northampton County,52.7,125,3.8,48.9
PA-097,Northumberland County,51.9,124,2.9,49
PA-099,Perry County,53.1,121,2.6,50.5
PA-101,Philadelphia County,57,125,3.8,53.2
PA-103,Pike County,49.1,125,3.2,45.9
PA-105,Potter County,47.5,121,2.4,45.1
PA-107,Schuylkill County,51.1,124,3,48.1
PA-109,Snyder County,52.1,122,2.5,49.6
PA-111,Somerset County,48.9,115,1.9,47
PA-113,Sullivan County,47,121,2.4,44.6
PA-115,Susquehanna County,48.6,126,3.1,45.5
PA-117,Tioga County,47.7,121,2.4,45.3
PA-119,Union County,51.5,124,2.6,48.9
PA-121,Venango County,49.2,115,2.4,46.8
PA-123,Warren County,48.3,122,2.9,45.4
PA-125,Washington County,52.3,112,1.9,50.4
PA-127,Wayne County,48.5,127,3.3,45.2
PA-129,Westmoreland County,51.8,115,1.9,49.9
PA-131,Wyoming County,49.6,125,3.4,46.2
PA-133,York County,54.6,125,3.5,51.1
RI-001,Bristol County,53.9,128,4.1,49.8
RI-003,Kent County,52.8,128,4.3,48.5
RI-005,Newport County,53.5,128,3.9,49.6
RI-007,Providence County,52.5,128,4.3,48.2
RI-009,Washington County,53.1,128,4.4,48.7
SC-001,Abbeville County,63,117,1.7,61.3
SC-003,Aiken County,65,120,2,63
SC-005,Allendale County,65.5,118,1.7,63.8
SC-007,Anderson County,62.4,120,1.9,60.5
SC-009,Bamberg County,64.9,105,1.2,63.7
SC-011,Barnwell County,65,112,1.6,63.4
SC-013,Beaufort County,68.4,126,2.7,65.7
SC-015,Berkeley County,66.2,118,2.1,64.1
SC-017,Calhoun County,64.9,111,1.4,63.5
SC-019,Charleston County,67.2,121,2.5,64.7
SC-021,Cherokee County,61.2,119,1.7,59.5
SC-023,Chester County,62.1,110,1.4,60.7
SC-025,Chesterfield County,63.3,121,2.2,61.1
SC-027,Clarendon County,65.2,121,1.7,63.5
SC-029,Colleton County,66.5,123,2.3,64.2
SC-031,Darlington County,64.6,125,2.5,62.1
SC-033,Dillon County,64.7,125,2.6,62.1
SC-035,Dorchester County,66.2,118,2.1,64.1
SC-037,Edgefield County,64.5,121,1.9,62.6
SC-039,Fairfield County,63.1,114,1.4,61.7
SC-041,Florence County,65.2,122,2.3,62.9
SC-043,Georgetown County,65.3,117,1.6,63.7
SC-045,Greenville County,61.4,122,2.1,59.3
SC-047,Greenwood County,63.4,119,1.7,61.7
SC-049,Hampton County,66.3,122,2.1,64.2
SC-051,Horry County,64.9,122,2,62.9
SC-053,Jasper County,67.4,126,2.4,65
SC-055,Kershaw County,63.6,120,2,61.6
SC-057,Lancaster County,62.3,119,2,60.3
SC-059,Laurens County,62.6,117,1.6,61
SC-061,Lee County,64.5,124,2.2,62.3
SC-063,Lexington County,64.2,119,1.8,62.4
SC-065,McCormick County,63.8,119,1.7,62.1
SC-067,Marion County,65,122,2.1,62.9
SC-069,Marlboro County,64.4,125,2.6,61.8
SC-071,Newberry County,63.2,114,1.5,61.7
SC-073,Oconee County,60.6,106,1.1,59.5
SC-075,Orangeburg County,65.1,113,1.5,63.6
SC-077,Pickens County,61.2,120,2.1,59.1
SC-079,Richland County,64.4,112,1.5,62.9
SC-081,Saluda County,63.8,121,1.8,62
SC-083,Spartanburg County,61.7,119,1.8,59.9
